"content_id","topic_id","wordpress_url","sanity_url","sanity_desk_url","publish_date","status","performance_metrics","publish_id","created_at"
"CONTENT-001","TOPIC-001","http://localhost:8080/index-funds-vs-mutual-funds-a-detailed-indian-market-guide/","http://localhost:3001/posts/index-funds-vs-mutual-funds-a-detailed-indian-market-guide","https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-001","2025-10-08T12:38:18.072Z","Published","{""wordpress"":""wordpress"",""wordpress_id"":45,""wordpress_edit_url"":""http://localhost:8080/wp-admin/post.php?post=45&action=edit"",""sanity"":""sanity"",""sanity_document_id"":""post-CONTENT-001"",""sanity_desk_url"":""https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-001"",""simulated"":false}","PUB-001","2025-10-08T12:38:18.072Z"
"CONTENT-002","TOPIC-002","http://localhost:8080/elss-vs-tax-saving-fd-comprehensive-tax-saving-guide/","http://localhost:3001/posts/elss-vs-tax-saving-fd-comprehensive-tax-saving-guide","https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-002","2025-10-08T12:38:20.354Z","Published","{""wordpress"":""wordpress"",""wordpress_id"":46,""wordpress_edit_url"":""http://localhost:8080/wp-admin/post.php?post=46&action=edit"",""sanity"":""sanity"",""sanity_document_id"":""post-CONTENT-002"",""sanity_desk_url"":""https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-002"",""simulated"":false}","PUB-002","2025-10-08T12:38:20.354Z"
"CONTENT-003","TOPIC-003","http://localhost:8080/small-cap-vs-mid-cap-vs-large-cap-a-comprehensive-analysis/","http://localhost:3001/posts/small-cap-vs-mid-cap-vs-large-cap-a-comprehensive-analysis","https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-003","2025-10-08T12:38:23.344Z","Published","{""wordpress"":""wordpress"",""wordpress_id"":47,""wordpress_edit_url"":""http://localhost:8080/wp-admin/post.php?post=47&action=edit"",""sanity"":""sanity"",""sanity_document_id"":""post-CONTENT-003"",""sanity_desk_url"":""https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-003"",""simulated"":false}","PUB-003","2025-10-08T12:38:23.344Z"
"CONTENT-001","TOPIC-001","http://localhost:8080/index-funds-vs-mutual-funds-a-comprehensive-indian-marke-5/","http://localhost:3001/posts/index-funds-vs-mutual-funds-a-comprehensive-indian-marke","https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-001","2025-10-08T14:38:50.040Z","Published","{""wordpress"":""wordpress"",""wordpress_id"":48,""wordpress_edit_url"":""http://localhost:8080/wp-admin/post.php?post=48&action=edit"",""sanity"":""sanity"",""sanity_document_id"":""post-CONTENT-001"",""sanity_desk_url"":""https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-001"",""simulated"":false}","PUB-004","2025-10-08T14:38:50.040Z"
"CONTENT-002","TOPIC-002","http://localhost:8080/elss-vs-tax-saving-fd-a-comprehensive-guide-3/","http://localhost:3001/posts/elss-vs-tax-saving-fd-a-comprehensive-guide","https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-002","2025-10-08T14:38:54.048Z","Published","{""wordpress"":""wordpress"",""wordpress_id"":49,""wordpress_edit_url"":""http://localhost:8080/wp-admin/post.php?post=49&action=edit"",""sanity"":""sanity"",""sanity_document_id"":""post-CONTENT-002"",""sanity_desk_url"":""https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-002"",""simulated"":false}","PUB-005","2025-10-08T14:38:54.048Z"
"CONTENT-003","TOPIC-003","http://localhost:8080/small-cap-vs-mid-cap-vs-large-cap-an-in-depth-indian-mar/","http://localhost:3001/posts/small-cap-vs-mid-cap-vs-large-cap-an-in-depth-indian-mar","https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-003","2025-10-08T14:38:57.695Z","Published","{""wordpress"":""wordpress"",""wordpress_id"":50,""wordpress_edit_url"":""http://localhost:8080/wp-admin/post.php?post=50&action=edit"",""sanity"":""sanity"",""sanity_document_id"":""post-CONTENT-003"",""sanity_desk_url"":""https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-003"",""simulated"":false}","PUB-006","2025-10-08T14:38:57.695Z"
"CONTENT-004","TOPIC-010","http://localhost:8080/index-funds-vs-mutual-funds-a-comprehensive-indian-marke-6/","http://localhost:3001/posts/index-funds-vs-mutual-funds-a-comprehensive-indian-marke","https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-004","2025-10-08T14:39:00.087Z","Published","{""wordpress"":""wordpress"",""wordpress_id"":51,""wordpress_edit_url"":""http://localhost:8080/wp-admin/post.php?post=51&action=edit"",""sanity"":""sanity"",""sanity_document_id"":""post-CONTENT-004"",""sanity_desk_url"":""https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-004"",""simulated"":false}","PUB-007","2025-10-08T14:39:00.087Z"
"CONTENT-005","TOPIC-011","http://localhost:8080/elss-vs-tax-saving-fd-a-comprehensive-guide-4/","http://localhost:3001/posts/elss-vs-tax-saving-fd-a-comprehensive-guide","https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-005","2025-10-08T14:39:03.107Z","Published","{""wordpress"":""wordpress"",""wordpress_id"":52,""wordpress_edit_url"":""http://localhost:8080/wp-admin/post.php?post=52&action=edit"",""sanity"":""sanity"",""sanity_document_id"":""post-CONTENT-005"",""sanity_desk_url"":""https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-005"",""simulated"":false}","PUB-008","2025-10-08T14:39:03.107Z"
"CONTENT-006","TOPIC-012","http://localhost:8080/small-cap-vs-mid-cap-vs-large-cap-a-comprehensive-guide/","http://localhost:3001/posts/small-cap-vs-mid-cap-vs-large-cap-a-comprehensive-guide","https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-006","2025-10-08T14:39:06.140Z","Published","{""wordpress"":""wordpress"",""wordpress_id"":53,""wordpress_edit_url"":""http://localhost:8080/wp-admin/post.php?post=53&action=edit"",""sanity"":""sanity"",""sanity_document_id"":""post-CONTENT-006"",""sanity_desk_url"":""https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-006"",""simulated"":false}","PUB-009","2025-10-08T14:39:06.140Z"
"CONTENT-007","TOPIC-013","http://localhost:8080/index-funds-vs-mutual-funds-understanding-the-indian-con/","http://localhost:3001/posts/index-funds-vs-mutual-funds-understanding-the-indian-con","https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-007","2025-10-08T15:07:29.118Z","Published","{""wordpress"":""wordpress"",""wordpress_id"":54,""wordpress_edit_url"":""http://localhost:8080/wp-admin/post.php?post=54&action=edit"",""sanity"":""sanity"",""sanity_document_id"":""post-CONTENT-007"",""sanity_desk_url"":""https://sanity.io/1eg1vt8d/production/desk/article;post-CONTENT-007"",""simulated"":false}","PUB-010","2025-10-08T15:07:29.118Z"
